2Cellos	Youtube	Hurt	F:\Music\2Cellos\Youtube\2Cellos - Hurt.mp3
2gether		u + me = us (calculus)	F:\Music\2gether\Unknown Album\2gether - 02 - u + me = us (calculus).mp3
311		Amber	F:\Music\311\Unknown Album\311 - Amber.mp3
4 Non Blondes	Bigger, Better, Faster, More!	What's Up?	F:\Music\4 Non Blondes\Bigger, Better, Faster, More!\4 Non Blondes - 01 - What's Up_.mp3
50 Cent		In The Club (Clean)	F:\Music\50 Cent\Unknown Album\50 Cent - In The Club (Clean).mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	Overture	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 01 - Overture.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	Comedy Tonight	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 02 - Comedy Tonight.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	Love, I Hear	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 03 - Love, I Hear.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	Free	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 04 - Free.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	House of Marcus Lycus	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 05 - House of Marcus Lycus.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	Lovely	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 06 - Lovely.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	Pretty Little Picture	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 07 - Pretty Little Picture.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	Everybody Ought to Have a Maid	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 08 - Everybody Ought to Have a Maid.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	I'm Calm	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 09 - I'm Calm.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	Impossible	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 10 - Impossible.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	Bring Me My Bride	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 11 - Bring Me My Bride.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	That Dirty Old Man	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 12 - That Dirty Old Man.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	That'll Show Him	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 13 - That'll Show Him.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	Lovely (Reprise)	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 14 - Lovely (Reprise).mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	Funeral Sequence	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 15 - Funeral Sequence.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum [Angel]	Comedy Tonight (Finale)	F:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 16 - Comedy Tonight (Finale).mp3
A Tribe Called Quest	The Low End Theory	Scenario	F:\Music\A Tribe Called Quest\The Low End Theory\A Tribe Called Quest - 14 - Scenario.mp3
Aaron Copland	Great Orchestral Melodies	Variations on A Shaker Melody	F:\Music\Aaron Copland\Great Orchestral Melodies\Aaron Copland - Variations on A Shaker Melody.mp3
Aaron Copland		Fanfare for the Common Man	F:\Music\Aaron Copland\Unknown Album\Aaron Copland - Fanfare for the Common Man.mp3
ABBA	Abba Gold	Dancing Queen	F:\Music\ABBA\Abba Gold\ABBA - 02 - Dancing Queen.mp3
ABBA	Gold: Greatest Hits	Mamma Mia	F:\Music\ABBA\Gold_ Greatest Hits\ABBA - 04 - Mamma Mia.mp3
ABBA		Staying Alive dance remix	F:\Music\ABBA\Unknown Album\ABBA - 01 - Staying Alive dance remix.mp3
ABBA		Dancing Queen (Techno Remix)	F:\Music\ABBA\Unknown Album\ABBA - Dancing Queen (Techno Remix).mp3
Acceptance	Phantoms	Take Cover	F:\Music\Acceptance\Phantoms\Acceptance - 01 - Take Cover.mp3
AC/DC	Back In Black	Hells Bells	F:\Music\AC_DC\Back In Black\AC_DC - 01 - Hells Bells.mp3
AC/DC	Back In Black	Shoot To Thrill	F:\Music\AC_DC\Back In Black\AC_DC - 02 - Shoot To Thrill.mp3
AC/DC	Back In Black	What Do You Do For Money Honey	F:\Music\AC_DC\Back In Black\AC_DC - 03 - What Do You Do For Money Honey.mp3
AC/DC	Back In Black	Givin' The Dog A Bone	F:\Music\AC_DC\Back In Black\AC_DC - 04 - Givin' The Dog A Bone.mp3
AC/DC	Back In Black	Let Me Put My Love Into You	F:\Music\AC_DC\Back In Black\AC_DC - 05 - Let Me Put My Love Into You.mp3
AC/DC	Back In Black	Back In Black	F:\Music\AC_DC\Back In Black\AC_DC - 06 - Back In Black.mp3
AC/DC	Back In Black	You Shook Me All Night Long	F:\Music\AC_DC\Back In Black\AC_DC - 07 - You Shook Me All Night Long.mp3
AC/DC	Back In Black	Have A Drink On Me	F:\Music\AC_DC\Back In Black\AC_DC - 08 - Have A Drink On Me.mp3
AC/DC	Back In Black	Shake A Leg	F:\Music\AC_DC\Back In Black\AC_DC - 09 - Shake A Leg.mp3
AC/DC	Back In Black	Rock And Roll Ain't Noise Pollution	F:\Music\AC_DC\Back In Black\AC_DC - 10 - Rock And Roll Ain't Noise Pollution.mp3
AC/DC	For Those About To Rock We Salute You	For Those About To Rock (We Salute You)	F:\Music\AC_DC\For Those About To Rock We Salute Y\AC_DC - 01 - For Those About To Rock (We Salute You).mp3
AC/DC	High Voltage	It's A Long Way To The Top (If You Wanna Rock 'n' Roll)	F:\Music\AC_DC\High Voltage\AC_DC - 01 - It's A Long Way To The Top (If You Wanna Rock 'n' Roll).mp3
AC/DC	High Voltage	Rock 'n' Roll Singer	F:\Music\AC_DC\High Voltage\AC_DC - 02 - Rock 'n' Roll Singer.mp3
AC/DC	High Voltage	The Jack	F:\Music\AC_DC\High Voltage\AC_DC - 03 - The Jack.mp3
AC/DC	High Voltage	Live Wire	F:\Music\AC_DC\High Voltage\AC_DC - 04 - Live Wire.mp3
AC/DC	High Voltage	T.N.T.	F:\Music\AC_DC\High Voltage\AC_DC - 05 - T.N.T..mp3
AC/DC	High Voltage	Can I Sit Next To You Girl	F:\Music\AC_DC\High Voltage\AC_DC - 06 - Can I Sit Next To You Girl.mp3
AC/DC	High Voltage	Little Lover	F:\Music\AC_DC\High Voltage\AC_DC - 07 - Little Lover.mp3
AC/DC	High Voltage	She's Got Balls	F:\Music\AC_DC\High Voltage\AC_DC - 08 - She's Got Balls.mp3
AC/DC	High Voltage	High Voltage	F:\Music\AC_DC\High Voltage\AC_DC - 09 - High Voltage.mp3
AC/DC	The Best Of Brian Johnson	Stiff Upper Lip	F:\Music\AC_DC\The Best Of Brian Johnson\AC_DC - 11 - Stiff Upper Lip.mp3
AC/DC	The Razors' Edge	Thunderstruck	F:\Music\AC_DC\The Razors' Edge\AC_DC - 03 - Thunderstruck.mp3
AC/DC		You Shook Me All Night Long	F:\Music\AC_DC\Unknown Album\AC_DC - 07 - You Shook Me All Night Long.mp3
AC/DC		Big Balls	F:\Music\AC_DC\Unknown Album\AC_DC - Big Balls.mp3
AC/DC		Dirty Deeds Done Dirt Cheap	F:\Music\AC_DC\Unknown Album\AC_DC - Dirty Deeds Done Dirt Cheap.mp3
AC/DC		Highway to Hell	F:\Music\AC_DC\Unknown Album\AC_DC - Highway to Hell.mp3
Adam Ant	Sounds of the Eighties - The Early 80s	Goody Two Shoes	F:\Music\Adam Ant\Sounds of the Eighties - The Early\Adam Ant - 10 - Goody Two Shoes.mp3
Adriano Celentano	Nostalrock	Prisencolinensinainciusol	F:\Music\Adriano Celentano\Nostalrock\Adriano Celentano - Prisencolinensinainciusol.mp3
Adventure Kid	Erasing Clouds When The Kids Are Sad (Prerelease)	Erasing Clouds When The Kids Are Sad	F:\Music\Adventure Kid\Erasing Clouds When The Kids Are Sa\Adventure Kid - 01 - Erasing Clouds When The Kids Are Sad.mp3
Adventure Kid	Prereleases	Robots Sing We're From Barcelona	F:\Music\Adventure Kid\Prereleases\Adventure Kid - 01 - Robots Sing We're From Barcelona.mp3
Adventure Kid	Prereleases	Go!	F:\Music\Adventure Kid\Prereleases\Adventure Kid - 02 - Go!.mp3
Adventure Kid	Prereleases	Mom & Dad	F:\Music\Adventure Kid\Prereleases\Adventure Kid - Mom & Dad.mp3
Aerosmith	Greatest Hits	Dream On	F:\Music\Aerosmith\Greatest Hits\Aerosmith - 01 - Dream On.mp3
Aerosmith		Dude Looks Like a Lady	F:\Music\Aerosmith\Unknown Album\Aerosmith - 01 - Dude Looks Like a Lady.mp3
Aerosmith		Toys in the Attic	F:\Music\Aerosmith\Unknown Album\Aerosmith - 01 - Toys in the Attic.mp3
Aerosmith		Crazy	F:\Music\Aerosmith\Unknown Album\Aerosmith - Crazy.mp3
Aerosmith		Shut Up and Dance	F:\Music\Aerosmith\Unknown Album\Aerosmith - Shut Up and Dance.mp3
Aerosmith		Walk This Way	F:\Music\Aerosmith\Unknown Album\Aerosmith - Walk This Way.mp3
Agnus Dei	Ace Combat 04 soundtrack	Megalith	F:\Music\Agnus Dei\Ace Combat 04 soundtrack\Agnus Dei - Megalith.mp3
Aida	Aida	Every Story Is a Love Story	F:\Music\Aida\Aida\Aida - 01 - Every Story Is a Love Story.mp3
Aida	Aida	Fortune Favors the Brave	F:\Music\Aida\Aida\Aida - 02 - Fortune Favors the Brave.mp3
Aida	Aida	The Past Is Another Land	F:\Music\Aida\Aida\Aida - 03 - The Past Is Another Land.mp3
Aida	Aida	Another Pyramid	F:\Music\Aida\Aida\Aida - 04 - Another Pyramid.mp3
Aida	Aida	How I Know You	F:\Music\Aida\Aida\Aida - 05 - How I Know You.mp3
Aida	Aida	My Strongest Suit	F:\Music\Aida\Aida\Aida - 06 - My Strongest Suit.mp3
Aida	Aida	Enchantment Passing Through	F:\Music\Aida\Aida\Aida - 07 - Enchantment Passing Through.mp3
Aida	Aida	My Strongest Suit (Reprise)	F:\Music\Aida\Aida\Aida - 08 - My Strongest Suit (Reprise).mp3
Aida	Aida	Dance of the Robe	F:\Music\Aida\Aida\Aida - 09 - Dance of the Robe.mp3
Aida	Aida	Not Me	F:\Music\Aida\Aida\Aida - 10 - Not Me.mp3
Aida	Aida	Elaborate Lives	F:\Music\Aida\Aida\Aida - 11 - Elaborate Lives.mp3
Aida	Aida	The Gods Love Nubia	F:\Music\Aida\Aida\Aida - 12 - The Gods Love Nubia.mp3
Aida	Aida	A Step Too Far	F:\Music\Aida\Aida\Aida - 13 - A Step Too Far.mp3
Aida	Aida	Easy as Life	F:\Music\Aida\Aida\Aida - 14 - Easy as Life.mp3
Aida	Aida	Like Father, Like Son	F:\Music\Aida\Aida\Aida - 15 - Like Father, Like Son.mp3
Aida	Aida	Radames' Letter	F:\Music\Aida\Aida\Aida - 16 - Radames' Letter.mp3
Aida	Aida	How I Know You (Reprise)	F:\Music\Aida\Aida\Aida - 17 - How I Know You (Reprise).mp3
Aida	Aida	Written in the Stars	F:\Music\Aida\Aida\Aida - 18 - Written in the Stars.mp3
Aida	Aida	I Know the Truth	F:\Music\Aida\Aida\Aida - 19 - I Know the Truth.mp3
Aida	Aida	Enchantment Passing Through (Reprise)	F:\Music\Aida\Aida\Aida - 20 - Enchantment Passing Through (Reprise).mp3
Air	Talkie Walkie	Alone In Kyoto	F:\Music\Air\Talkie Walkie\Air - 10 - Alone In Kyoto.mp3
Armin van Buuren		L'Esperanza (Rising Star Mix)	F:\Music\Airscape\Unknown Album\Armin van Buuren - L'Esperanza (Rising Star Mix).mp3
AJ The Engineer	Smile!	A Heart Warming Night	F:\Music\AJ The Engineer\Smile!\AJ The Engineer - 03 - A Heart Warming Night.mp3
Akon		Smack That	F:\Music\Akon\Unknown Album\Akon - 02 - Smack That.mp3
Al Green		Full of Fire	F:\Music\Al Green\Unknown Album\Al Green - Full of Fire.mp3
Al Green		L-O-V-E	F:\Music\Al Green\Unknown Album\Al Green - L-O-V-E.mp3
Al Green		Look What You Done for Me	F:\Music\Al Green\Unknown Album\Al Green - Look What You Done for Me.mp3
Al Green		Love and Happiness	F:\Music\Al Green\Unknown Album\Al Green - Love and Happiness.mp3
Al Green		Sha La La	F:\Music\Al Green\Unknown Album\Al Green - Sha La La.mp3
Alan Jackson	Summertime Mix	Summertime Blues	F:\Music\Alan Jackson\Summertime Mix\Alan Jackson - 11 - Summertime Blues.mp3
Alanis Morissette	Supposed Former Infatuation Junkie	Can't Not	F:\Music\Alanis Morissette\Supposed Former Infatuation Junkie\Alanis Morissette - 08 - Can't Not.mp3
Alex Ubago	Fantasia o Realidad	Aunque No Te Pueda Ver	F:\Music\Alex Ubago\Fantasia o Realidad\Alex Ubago - 01 - Aunque No Te Pueda Ver.mp3
Alex Ubago	Fantasia o Realidad	Fantasía o Realidad	F:\Music\Alex Ubago\Fantasia o Realidad\Alex Ubago - 02 - Fantasía o Realidad.mp3
Alex Ubago	Fantasia o Realidad	Dame Tu Aire	F:\Music\Alex Ubago\Fantasia o Realidad\Alex Ubago - 03 - Dame Tu Aire.mp3
Alex Ubago	Fantasia o Realidad	Prefiero	F:\Music\Alex Ubago\Fantasia o Realidad\Alex Ubago - 04 - Prefiero.mp3
Alex Ubago	Fantasia o Realidad	Cuanto Antes	F:\Music\Alex Ubago\Fantasia o Realidad\Alex Ubago - 05 - Cuanto Antes.mp3
Alex Ubago	Fantasia o Realidad	Otro Día Más	F:\Music\Alex Ubago\Fantasia o Realidad\Alex Ubago - 06 - Otro Día Más.mp3
Alex Ubago	Fantasia o Realidad	Allí Estaré	F:\Music\Alex Ubago\Fantasia o Realidad\Alex Ubago - 07 - Allí Estaré.mp3
Alex Ubago	Fantasia o Realidad	Despertar	F:\Music\Alex Ubago\Fantasia o Realidad\Alex Ubago - 08 - Despertar.mp3
Alex Ubago	Fantasia o Realidad	Por Tantas Cosas	F:\Music\Alex Ubago\Fantasia o Realidad\Alex Ubago - 09 - Por Tantas Cosas.mp3
Alex Ubago	Fantasia o Realidad	Salida	F:\Music\Alex Ubago\Fantasia o Realidad\Alex Ubago - 10 - Salida.mp3
Alex Ubago	Fantasia o Realidad	Sin Miedo a Nada	F:\Music\Alex Ubago\Fantasia o Realidad\Alex Ubago - 11 - Sin Miedo a Nada.mp3
Alex Ubago	Fantasia o Realidad	A Gritos de Esperanza	F:\Music\Alex Ubago\Fantasia o Realidad\Alex Ubago - 12 - A Gritos de Esperanza.mp3
Alex Ubago	Fantasia o Realidad	¿Qué Pides Tú?	F:\Music\Alex Ubago\Fantasia o Realidad\Alex Ubago - 13 - ¿Qué Pides Tú_.mp3
Rage Against The Machine	The Matrix Soundtrack	Wake Up	F:\Music\Alex Verhoeven\The Matrix Soundtrack\Rage Against The Machine - 13 - Wake Up.mp3
The Propellerheads	The Matrix Soundtrack	Matrix (Lobby Scene)	F:\Music\Alex Verhoeven\The Matrix Soundtrack\The Propellerheads - 32 - Matrix (Lobby Scene).mp3
Alfred Reed		The Hounds of Spring	F:\Music\Alfred Reed\Unknown Album\Alfred Reed - The Hounds of Spring.mp3
Alias Conrad Coldwood	OFF Soundtrack	Pepper Steak	F:\Music\Alias Conrad Coldwood\OFF Soundtrack\Alias Conrad Coldwood - 04 - Pepper Steak.mp3
Alica De Larrocha	Albeniz - Iberia-Navarra-Suite Espanola (Alicia De Larrocha) (Disc 2)	Suite Espanola - Sevilla (Sevillanas)	F:\Music\Alica De Larrocha\Albeniz - Iberia-Navarra-Suite Espa\Alica De Larrocha - 07 - Suite Espanola - Sevilla (Sevillanas).mp3
Alice Cooper		School's Out For Summer	F:\Music\Alice Cooper\Unknown Album\Alice Cooper - School's Out For Summer.mp3
Alice Deejay	Top 100 Trance And Techno Party Songs Of All Time	Better Off Alone	F:\Music\Alice Deejay\Top 100 Trance And Techno Party Son\Alice Deejay - 01 - Better Off Alone.mp3
Alison Krauss	Raising Sand	Rich Woman	F:\Music\Alison Krauss & Robert Plant\Raising Sand\Alison Krauss - 01 - Rich Woman.mp3
Alison Krauss	Raising Sand	Killing The Blues	F:\Music\Alison Krauss & Robert Plant\Raising Sand\Alison Krauss - 02 - Killing The Blues.mp3
Alison Krauss	Raising Sand	Sister Rosetta Goes Before Us	F:\Music\Alison Krauss & Robert Plant\Raising Sand\Alison Krauss - 03 - Sister Rosetta Goes Before Us.mp3
Alison Krauss	Raising Sand	Polly Come Home	F:\Music\Alison Krauss & Robert Plant\Raising Sand\Alison Krauss - 04 - Polly Come Home.mp3
Alison Krauss	Raising Sand	Gone Gone Gone (Done Moved On)	F:\Music\Alison Krauss & Robert Plant\Raising Sand\Alison Krauss - 05 - Gone Gone Gone (Done Moved On).mp3
Alison Krauss	Raising Sand	Through The Morning, Through The Night	F:\Music\Alison Krauss & Robert Plant\Raising Sand\Alison Krauss - 06 - Through The Morning, Through The Night.mp3
Alison Krauss	Raising Sand	Please Read The Letter	F:\Music\Alison Krauss & Robert Plant\Raising Sand\Alison Krauss - 07 - Please Read The Letter.mp3
Alison Krauss	Raising Sand	Trampled Rose	F:\Music\Alison Krauss & Robert Plant\Raising Sand\Alison Krauss - 08 - Trampled Rose.mp3
Alison Krauss	Raising Sand	Fortune Teller	F:\Music\Alison Krauss & Robert Plant\Raising Sand\Alison Krauss - 09 - Fortune Teller.mp3
Alison Krauss	Raising Sand	Stick With Me Baby	F:\Music\Alison Krauss & Robert Plant\Raising Sand\Alison Krauss - 10 - Stick With Me Baby.mp3
Alison Krauss	Raising Sand	Nothin'	F:\Music\Alison Krauss & Robert Plant\Raising Sand\Alison Krauss - 11 - Nothin'.mp3
Alison Krauss	Raising Sand	Let Your Loss Be Your Lesson	F:\Music\Alison Krauss & Robert Plant\Raising Sand\Alison Krauss - 12 - Let Your Loss Be Your Lesson.mp3
Alison Krauss	Raising Sand	Your Long Journey	F:\Music\Alison Krauss & Robert Plant\Raising Sand\Alison Krauss - 13 - Your Long Journey.mp3
Alison Krauss & Union Station	Lonely Runs Both Ways	Gravity	F:\Music\Alison Krauss & Union Station\Lonely Runs Both Ways\Alison Krauss & Union Station - 01 - Gravity.mp3
Alison Krauss & Union Station	Lonely Runs Both Ways	Restless	F:\Music\Alison Krauss & Union Station\Lonely Runs Both Ways\Alison Krauss & Union Station - 02 - Restless.mp3
