!distain	!distain		Remote Control	S:\Music\!distain\Unknown Album\!distain - Remote Control.mp3
2Cellos	2Cellos	Youtube	Hurt	S:\Music\2Cellos\Youtube\2Cellos - Hurt.mp3
2gether	2gether	2GE+HER	U + Me = Us (Calculus)	S:\Music\2gether\2GE+HER\2gether - 02 - U + Me = Us (Calculus).mp3
311	311	Greatest Hits '93-'03	Amber	S:\Music\311\Greatest Hits '93-'03\311 - 04 - Amber.mp3
311	311	Greatest Hits '93-'03	I'll Be Here Awhile	S:\Music\311\Greatest Hits '93-'03\311 - 09 - I'll Be Here Awhile.mp3
311	311	Greatest Hits '93-'03	Love Song	S:\Music\311\Greatest Hits '93-'03\311 - 15 - Love Song.mp3
4 Non Blondes	4 Non Blondes	Bigger, Better, Faster, More!	What's Up?	S:\Music\4 Non Blondes\Bigger, Better, Faster, More!\4 Non Blondes - 01 - What's Up_.mp3
4 Non Blondes	4 Non Blondes		What's Up (Minus Track)	S:\Music\4 Non Blondes\Unknown Album\4 Non Blondes - What's Up (Minus Track).mp3
50 Cent	50 Cent		In The Club (Clean)	S:\Music\50 Cent\Unknown Album\50 Cent - In The Club (Clean).mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	Overture	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 01 - Overture.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	Comedy Tonight	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 02 - Comedy Tonight.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	Love, I Hear	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 03 - Love, I Hear.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	Free	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 04 - Free.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	House of Marcus Lycus	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 05 - House of Marcus Lycus.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	Lovely	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 06 - Lovely.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	Pretty Little Picture	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 07 - Pretty Little Picture.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	Everybody Ought to Have a Maid	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 08 - Everybody Ought to Have a Maid.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	I'm Calm	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 09 - I'm Calm.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	Impossible	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 10 - Impossible.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	Bring Me My Bride	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 11 - Bring Me My Bride.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	That Dirty Old Man	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 12 - That Dirty Old Man.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	That'll Show Him	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 13 - That'll Show Him.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	Lovely (Reprise)	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 14 - Lovely (Reprise).mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	Funeral Sequence	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 15 - Funeral Sequence.mp3
Original Broadway Cast	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum [Angel]	Comedy Tonight (Finale)	S:\Music\A Funny Thing Happened on the Way t\A Funny Thing Happened on the Way t\Original Broadway Cast - 16 - Comedy Tonight (Finale).mp3
A Tribe Called Quest	A Tribe Called Quest	The Low End Theory	Scenario	S:\Music\A Tribe Called Quest\The Low End Theory\A Tribe Called Quest - 14 - Scenario.mp3
Aaron Copland	Aaron Copland	Great Orchestral Melodies	Variations on A Shaker Melody	S:\Music\Aaron Copland\Great Orchestral Melodies\Aaron Copland - Variations on A Shaker Melody.mp3
Aaron Copland	Aaron Copland		Fanfare for the Common Man	S:\Music\Aaron Copland\Unknown Album\Aaron Copland - Fanfare for the Common Man.mp3
ABBA	ABBA	Abba Gold	Dancing Queen	S:\Music\ABBA\Abba Gold\ABBA - 02 - Dancing Queen.mp3
